cik,filename,total_revenue,net_income_loss,revenue_tag
863110,863110_2018.htm,80411000,14278000,RevenueFromContractWithCustomerExcludingAssessedTax
1418121,1418121_2018.htm,1270555000,206086000,RevenueFromContractWithCustomerExcludingAssessedTax
1547638,1547638_2018.htm,401610000,-507786000,Revenues
100378,100378_2018.htm,240733000,9528000,RevenueFromContractWithCustomerIncludingAssessedTax
1046995,1046995_2018.htm,26235000,-9542000,RevenueFromContractWithCustomerExcludingAssessedTax
919012,919012_2018.htm,4035720000,261902000,RevenueFromContractWithCustomerExcludingAssessedTax
1730300,1730300_2018.htm,,,
1585673,1585673_2018.htm,,,
1212545,1212545_2018.htm,,435800000,
885462,885462_2018.htm,2594941,-69963986,Revenues
20520,20520_2018.htm,8228000000,-643000000,RevenueFromContractWithCustomerExcludingAssessedTax
1001233,1001233_2018.htm,84452000,-68334000,RevenueFromContractWithCustomerExcludingAssessedTax
1680232,1680232_2018.htm,5764028,,Revenues
1410428,1410428_2018.htm,50094000,-37205000,Revenues
1658520,1658520_2018.htm,0,-10294,Revenues
1629958,1629958_2018.htm,,,
311817,311817_2018.htm,72598,4121070,Revenues
1335112,1335112_2018.htm,22667325,-4098677,Revenues
1645873,1645873_2018.htm,17984625,-1801724,Revenues
1544861,1544861_2018.htm,,-23661,
924901,924901_2018.htm,371724000,84111000,Revenues
21535,21535_2018.htm,451768000,-32181000,RevenueFromContractWithCustomerIncludingAssessedTax
7084,7084_2018.htm,64341000000,1810000000,Revenues
1693415,1693415_2018.htm,1420000,-97395000,RevenueFromContractWithCustomerExcludingAssessedTax
1502292,1502292_2018.htm,98911000,,Revenues
1383414,1383414_2018.htm,,,
1227500,1227500_2018.htm,,35825000,
1253689,1253689_2018.htm,,-48273633,
1593001,1593001_2018.htm,196742,-5239493,Revenues
1067701,1067701_2018.htm,8047000000,1096000000,Revenues
813762,813762_2018.htm,11777000000,1482000000,Revenues
1315255,1315255_2018.htm,1430300000,-243400000,RevenueFromContractWithCustomerExcludingAssessedTax
1382101,1382101_2018.htm,38419000,-35317000,RevenueFromContractWithCustomerExcludingAssessedTax
1517389,1517389_2018.htm,53143,-316099,Revenues
867374,867374_2018.htm,1015021000,-971000,RevenueFromContractWithCustomerExcludingAssessedTax
1522602,1522602_2018.htm,,-15705865,
1735646,1735646_2018.htm,,,
1683252,1683252_2018.htm,510879,-357324,RevenueFromContractWithCustomerIncludingAssessedTax
1393772,1393772_2018.htm,0,-29315007,Revenues
23632,23632_2018.htm,,,
925661,925661_2018.htm,0,-1305383,Revenues
17843,17843_2018.htm,2157700000,188500000,RevenueFromContractWithCustomerExcludingAssessedTax
814586,814586_2018.htm,103350000,-3086000,RevenueFromContractWithCustomerExcludingAssessedTax
1700668,1700668_2018.htm,,,
1671584,1671584_2018.htm,23067000,-53689000,RevenueFromContractWithCustomerExcludingAssessedTax
1129155,1129155_2018.htm,298616000,28488000,RevenueFromContractWithCustomerIncludingAssessedTax
1663645,1663645_2018.htm,,,
315858,315858_2018.htm,651205000,35102000,RevenueFromContractWithCustomerExcludingAssessedTax
1694187,1694187_2018.htm,,-76934000,
866706,866706_2018.htm,683650000,92136000,RevenueFromContractWithCustomerExcludingAssessedTax
1490927,1490927_2018.htm,,,
1666176,1666176_2018.htm,,,
23795,23795_2018.htm,43658000,37168000,Revenues
1047340,1047340_2018.htm,4493900000,-21900000,Revenues
1431766,1431766_2018.htm,,,
1653099,1653099_2018.htm,,-61919,
91142,91142_2018.htm,3187900000,444200000,RevenueFromContractWithCustomerExcludingAssessedTax
1519061,1519061_2018.htm,4622800000,292500000,RevenueFromContractWithCustomerExcludingAssessedTax
1299709,1299709_2018.htm,8833000,152411000,RevenueFromContractWithCustomerExcludingAssessedTax
1051470,1051470_2018.htm,574000000,,RevenueFromContractWithCustomerExcludingAssessedTax
1750707,1750707_2018.htm,,,
860413,860413_2018.htm,,160200000,
1633651,1633651_2018.htm,793259000,137127000,Revenues
1554859,1554859_2018.htm,21491000,5014000,Revenues
18498,18498_2018.htm,2188553000,-51930000,RevenueFromContractWithCustomerExcludingAssessedTax
927355,927355_2018.htm,419044800,5545800,RevenueFromContractWithCustomerExcludingAssessedTax
1603793,1603793_2018.htm,499074,-921685,RevenueFromContractWithCustomerExcludingAssessedTax
879635,879635_2018.htm,,10596000,
878828,878828_2018.htm,52788000,35000,RevenueFromContractWithCustomerExcludingAssessedTax
1704596,1704596_2018.htm,564754000,-14712000,RevenueFromContractWithCustomerExcludingAssessedTax
1548309,1548309_2018.htm,1449948000,-53464000,RevenueFromContractWithCustomerExcludingAssessedTax
1235010,1235010_2018.htm,75589000,,RevenueFromContractWithCustomerExcludingAssessedTax
1660280,1660280_2018.htm,267360000,-73521000,RevenueFromContractWithCustomerExcludingAssessedTax
796505,796505_2018.htm,77651354,4274547,RevenueFromContractWithCustomerExcludingAssessedTax
1751143,1751143_2018.htm,,287660,
1638227,1638227_2018.htm,,,
1633858,1633858_2018.htm,,,
912767,912767_2018.htm,4489180000,148598000,RevenueFromContractWithCustomerIncludingAssessedTax
19584,19584_2018.htm,1197562000,205544000,RevenueFromContractWithCustomerExcludingAssessedTax
1716188,1716188_2018.htm,143236,380416,RevenueFromContractWithCustomerIncludingAssessedTax
1327978,1327978_2018.htm,190325000,,Revenues
1374328,1374328_2018.htm,17077000,509000,Revenues
816284,816284_2018.htm,15281000000,4046000000,RevenueFromContractWithCustomerExcludingAssessedTax
1578423,1578423_2018.htm,,,
1594012,1594012_2018.htm,21715000,202576000,RevenueFromContractWithCustomerExcludingAssessedTax
91767,91767_2018.htm,5390938000,313560000,RevenueFromContractWithCustomerExcludingAssessedTax
1162556,1162556_2018.htm,179931000,30000,RevenueFromContractWithCustomerExcludingAssessedTax
31978,31978_2018.htm,899375000,84315000,RevenueFromContractWithCustomerExcludingAssessedTax
1623837,1623837_2018.htm,,,
70866,70866_2018.htm,6405000000,-88000000,Revenues
1533840,1533840_2018.htm,,,
885978,885978_2018.htm,453911000,34873000,RevenueFromContractWithCustomerExcludingAssessedTax
813672,813672_2018.htm,2138022000,345777000,RevenueFromContractWithCustomerExcludingAssessedTax
1467760,1467760_2018.htm,,219986000,
1224608,1224608_2018.htm,4313500000,-315000000,Revenues
1290098,1290098_2018.htm,,,
1725911,1725911_2018.htm,1161995,-52919,RevenueFromContractWithCustomerExcludingAssessedTax
811830,811830_2018.htm,0,707404000,Revenues
1686150,1686150_2018.htm,,,
1294649,1294649_2018.htm,,,
1668340,1668340_2018.htm,,1073514,
1446806,1446806_2018.htm,,,
1255604,1255604_2018.htm,,,
1467858,1467858_2018.htm,133045000000,8014000000,RevenueFromContractWithCustomerExcludingAssessedTax
1570279,1570279_2018.htm,175,-55617,Revenues
1459482,1459482_2018.htm,6476442,-10191162,Revenues
829325,829325_2018.htm,388000,-7109000,Revenues
1498301,1498301_2018.htm,5566400000,-39700000,Revenues
1286405,1286405_2018.htm,,,
711034,711034_2018.htm,0,-632687,Revenues
1711754,1711754_2018.htm,0,-12440023,Revenues
1434737,1434737_2018.htm,0,-449030,Revenues
1411579,1411579_2018.htm,5460800000,110100000,RevenueFromContractWithCustomerExcludingAssessedTax
1742373,1742373_2018.htm,,,
1089815,1089815_2018.htm,3424000,-421000,RevenueFromContractWithCustomerExcludingAssessedTax
1735041,1735041_2018.htm,60213088,6623551,Revenues
6845,6845_2018.htm,1402637000,45694000,RevenueFromContractWithCustomerExcludingAssessedTax
1605481,1605481_2018.htm,,-817935,
1385280,1385280_2018.htm,3221735000,213827000,RevenueFromContractWithCustomerExcludingAssessedTax
35214,35214_2018.htm,1074696000,80093000,RevenueFromContractWithCustomerExcludingAssessedTax
1084332,1084332_2018.htm,3000000,-2667000,RevenueFromContractWithCustomerIncludingAssessedTax
1058811,1058811_2018.htm,110979000,54343000,RevenueFromContractWithCustomerExcludingAssessedTax
1102238,1102238_2018.htm,149949000,173699000,Revenues
1032033,1032033_2018.htm,,487476000,
1568969,1568969_2018.htm,4249,-1994256,RevenueFromContractWithCustomerExcludingAssessedTax
1683695,1683695_2018.htm,273901000,-7244000,Revenues
1717556,1717556_2018.htm,16502209,-5330126,RevenueFromContractWithCustomerExcludingAssessedTax
1674760,1674760_2018.htm,,,
1285543,1285543_2018.htm,233878,-3837249,Revenues
908937,908937_2018.htm,5771000000,1176000000,RevenueFromContractWithCustomerExcludingAssessedTax
1753233,1753233_2018.htm,,,
1100682,1100682_2018.htm,2266096000,226373000,RevenueFromContractWithCustomerExcludingAssessedTax
1624326,1624326_2018.htm,,-17968750,
719209,719209_2018.htm,78793000,17934000,RevenueFromContractWithCustomerExcludingAssessedTax
70145,70145_2018.htm,1592668000,391521000,Revenues
1552493,1552493_2018.htm,878354000,,Revenues
1355096,1355096_2018.htm,14070000000,916000000,RevenueFromContractWithCustomerExcludingAssessedTax
1074871,1074871_2018.htm,,-2539498,
50292,50292_2018.htm,28406666,5160776,Revenues
1425287,1425287_2018.htm,763173,-36502316,RevenueFromContractWithCustomerExcludingAssessedTax
912615,912615_2018.htm,3950623000,298003000,RevenueFromContractWithCustomerExcludingAssessedTax
49826,49826_2018.htm,14768000000,,RevenueFromContractWithCustomerExcludingAssessedTax
1638911,1638911_2018.htm,,-142324,
851205,851205_2018.htm,806338000,219267000,RevenueFromContractWithCustomerExcludingAssessedTax
1523519,1523519_2018.htm,,,
1472787,1472787_2018.htm,5747844000,474496000,Revenues
726293,726293_2018.htm,27200,,Revenues
1489588,1489588_2018.htm,18672,-1018600,Revenues
876427,876427_2018.htm,1200230000,79752000,RevenueFromContractWithCustomerExcludingAssessedTax
1235468,1235468_2018.htm,224514000,,RevenueFromContractWithCustomerExcludingAssessedTax
1674910,1674910_2018.htm,2285000000,166000000,RevenueFromContractWithCustomerExcludingAssessedTax
1039101,1039101_2018.htm,10244000000,1005000000,RevenueFromContractWithCustomerExcludingAssessedTax
51548,51548_2018.htm,675036000,225284000,RevenueFromContractWithCustomerExcludingAssessedTax
314227,314227_2018.htm,5584612,-3230462,Revenues
1512228,1512228_2018.htm,,-8497000,
880641,880641_2018.htm,,9001000,
820027,820027_2018.htm,12924000000,2098000000,Revenues
792935,792935_2018.htm,432515,-8178643,Revenues
1719606,1719606_2018.htm,,,
1570827,1570827_2018.htm,413412000,63704000,RevenueFromContractWithCustomerExcludingAssessedTax
903651,903651_2018.htm,57418000,-253000,Revenues
1160958,1160958_2018.htm,294490000,-95751000,RevenueFromContractWithCustomerExcludingAssessedTax
1405663,1405663_2018.htm,,-3709657,
1115128,1115128_2018.htm,386958000,-28318000,RevenueFromContractWithCustomerExcludingAssessedTax
1392972,1392972_2018.htm,197024000,-64246000,Revenues
81061,81061_2018.htm,36395718000,2381167000,Revenues
1259515,1259515_2018.htm,272458000,,RevenueFromContractWithCustomerExcludingAssessedTax
1586454,1586454_2018.htm,,4042000,
897078,897078_2018.htm,1066408,-339753,RevenueFromContractWithCustomerExcludingAssessedTax
1518832,1518832_2018.htm,2310000000,151000000,Revenues
34067,34067_2018.htm,326429000,30473000,RevenueFromContractWithCustomerExcludingAssessedTax
1655514,1655514_2018.htm,,,
1162387,1162387_2018.htm,,,
1746466,1746466_2018.htm,,-13250000,
1353226,1353226_2018.htm,,,
1438731,1438731_2018.htm,369776000,-7332000,Revenues
20290,20290_2018.htm,,,
314808,314808_2018.htm,1705400000,-639700000,Revenues
1137774,1137774_2018.htm,62992000000,4074000000,Revenues
1032208,1032208_2018.htm,9447000000,,RevenueFromContractWithCustomerExcludingAssessedTax
1589150,1589150_2018.htm,100000,-4715200,Revenues
832988,832988_2018.htm,6247100000,-657400000,RevenueFromContractWithCustomerExcludingAssessedTax
92122,92122_2018.htm,23495000000,,Revenues
320575,320575_2018.htm,590097000,-49011000,Revenues
1718483,1718483_2018.htm,,,
1302028,1302028_2018.htm,242107000,-13177000,RevenueFromContractWithCustomerExcludingAssessedTax
1116463,1116463_2018.htm,181743000,20396000,RevenueFromContractWithCustomerExcludingAssessedTax
1673431,1673431_2018.htm,,-4635716,
768408,768408_2018.htm,30202000,-3596000,RevenueFromContractWithCustomerExcludingAssessedTax
1661039,1661039_2018.htm,937069,-5377489,Revenues
1512886,1512886_2018.htm,,-2429465,
104918,104918_2018.htm,1396893000,136429000,Revenues
773318,773318_2018.htm,498481,-18210,Revenues
1172178,1172178_2018.htm,,-1305252,
733269,733269_2018.htm,285620000,1028547000,RevenueFromContractWithCustomerExcludingAssessedTax
811222,811222_2018.htm,2226866,-6265251,RevenueFromContractWithCustomerExcludingAssessedTax
1437071,1437071_2018.htm,,-70790000,
1655075,1655075_2018.htm,728200000,-163000000,RevenueFromContractWithCustomerExcludingAssessedTax
102212,102212_2018.htm,0,50543000,Revenues
1085913,1085913_2018.htm,,45527000,
1253317,1253317_2018.htm,,,
1723306,1723306_2018.htm,,,
1419793,1419793_2018.htm,4637698,-11346569,Revenues
829323,829323_2018.htm,73330642,-5890832,RevenueFromContractWithCustomerIncludingAssessedTax
76149,76149_2018.htm,20134998,-613910,RevenueFromContractWithCustomerIncludingAssessedTax
1253176,1253176_2018.htm,42377000,-42468000,RevenueFromContractWithCustomerExcludingAssessedTax
1475430,1475430_2018.htm,,-266955,
1694617,1694617_2018.htm,3283041,-23504327,Revenues
1477246,1477246_2018.htm,64085510,-4725090,RevenueFromContractWithCustomerExcludingAssessedTax
1553079,1553079_2018.htm,731511000,116317000,Revenues
875622,875622_2018.htm,32961443,20053269,RevenueFromContractWithCustomerExcludingAssessedTax
357173,357173_2018.htm,,34012000,
774569,774569_2018.htm,2273000,8835000,RevenueFromContractWithCustomerIncludingAssessedTax
1111928,1111928_2018.htm,1459874000,404027000,RevenueFromContractWithCustomerExcludingAssessedTax
921582,921582_2018.htm,374401000,22844000,RevenueFromContractWithCustomerExcludingAssessedTax
1574540,1574540_2018.htm,422551000,,Revenues
1034760,1034760_2018.htm,83678896,-1456476,Revenues
1411168,1411168_2018.htm,0,-64161,Revenues
1627041,1627041_2018.htm,,-77410,
1678507,1678507_2018.htm,,,
1357369,1357369_2018.htm,880810000,117095000,Revenues
1086303,1086303_2018.htm,,-250344,
1524829,1524829_2018.htm,16493,-417859,Revenues
1655020,1655020_2018.htm,1060743000,114568000,RevenueFromContractWithCustomerExcludingAssessedTax
1411342,1411342_2018.htm,,46676000,
1489874,1489874_2018.htm,50102000,,Revenues
354647,354647_2018.htm,,152003000,
91576,91576_2018.htm,1316000000,1866000000,RevenueFromContractWithCustomerExcludingAssessedTax
1668243,1668243_2018.htm,1128000,-75657000,RevenueFromContractWithCustomerExcludingAssessedTax
1278680,1278680_2018.htm,,-198122480,
1083522,1083522_2018.htm,12558000,-2079000,Revenues
1158449,1158449_2018.htm,9580554000,423847000,RevenueFromContractWithCustomerExcludingAssessedTax
1415744,1415744_2018.htm,-946,-769776,Revenues
1279620,1279620_2018.htm,1236930,-2027278,Revenues
1297184,1297184_2018.htm,294666000,-5738000,Revenues
1639234,1639234_2018.htm,0,-875007,Revenues
1633241,1633241_2018.htm,,,
1177648,1177648_2018.htm,206625000,71956000,RevenueFromContractWithCustomerExcludingAssessedTax
1648195,1648195_2018.htm,,,
1424929,1424929_2018.htm,619225000,84040000,RevenueFromContractWithCustomerExcludingAssessedTax
1403161,1403161_2018.htm,20609000000,10301000000,Revenues
1401521,1401521_2018.htm,723942000,290000,Revenues
1136352,1136352_2018.htm,3654100000,50800000,Revenues
881787,881787_2018.htm,,,
766421,766421_2018.htm,8264000000,437000000,Revenues
791963,791963_2018.htm,891586000,28892000,RevenueFromContractWithCustomerExcludingAssessedTax
1643550,1643550_2018.htm,,,
1362703,1362703_2018.htm,,6468325,
1561727,1561727_2018.htm,,,
877890,877890_2018.htm,2973903000,575667000,RevenueFromContractWithCustomerExcludingAssessedTax
1602065,1602065_2018.htm,282661000,143958000,RevenueFromContractWithCustomerExcludingAssessedTax
94049,94049_2018.htm,1993857000,111117000,RevenueFromContractWithCustomerExcludingAssessedTax
1637242,1637242_2018.htm,,-30471,
928054,928054_2018.htm,177773000,-70340000,RevenueFromContractWithCustomerExcludingAssessedTax
700764,700764_2018.htm,1034317,,RevenueFromContractWithCustomerIncludingAssessedTax
713425,713425_2018.htm,108706000,6803000,RevenueFromContractWithCustomerExcludingAssessedTax
310354,310354_2018.htm,595515000,36604000,Revenues
1529463,1529463_2018.htm,1450400000,258400000,RevenueFromContractWithCustomerExcludingAssessedTax
1383097,1383097_2018.htm,,,
97745,97745_2018.htm,24358000000,,RevenueFromContractWithCustomerExcludingAssessedTax
1044378,1044378_2018.htm,3250298,-24571601,RevenueFromContractWithCustomerExcludingAssessedTax
1004155,1004155_2018.htm,,,
1578348,1578348_2018.htm,,,
1643988,1643988_2018.htm,86715,-113177,Revenues
32604,32604_2018.htm,17408000000,2203000000,RevenueFromContractWithCustomerExcludingAssessedTax
1144546,1144546_2018.htm,,-43737,
1109242,1109242_2018.htm,,57868000,
916365,916365_2018.htm,7911046000,532357000,Revenues
1122063,1122063_2018.htm,15103000,-46592000,RevenueFromContractWithCustomerExcludingAssessedTax
1127475,1127475_2018.htm,536501,-456410,RevenueFromContractWithCustomerExcludingAssessedTax
22356,22356_2018.htm,,433542000,
1467373,1467373_2018.htm,40992534000,4059907000,Revenues
1260221,1260221_2018.htm,3811000000,957000000,Revenues
108772,108772_2018.htm,9830000000,361000000,RevenueFromContractWithCustomerExcludingAssessedTax
1638287,1638287_2018.htm,,-15529000,
1321741,1321741_2018.htm,,,
1691299,1691299_2018.htm,,,
1713832,1713832_2018.htm,9777079,-11243903,Revenues
1527102,1527102_2018.htm,558153,-5071334,Revenues
49600,49600_2018.htm,300392000,,Revenues
1046568,1046568_2018.htm,581296000,55181000,RevenueFromContractWithCustomerExcludingAssessedTax
930810,930810_2018.htm,816103000,,Revenues
1756640,1756640_2018.htm,5084,-51551,RevenueFromContractWithCustomerExcludingAssessedTax
78128,78128_2018.htm,838091000,191988000,Revenues
1635650,1635650_2018.htm,14210000,55681000,RevenueFromContractWithCustomerExcludingAssessedTax
845698,845698_2018.htm,,-9574787,
1495231,1495231_2018.htm,20099695,-5718407,RevenueFromContractWithCustomerExcludingAssessedTax
1726744,1726744_2018.htm,8694,-29403,Revenues
1463389,1463389_2018.htm,6772000,1445000,Revenues
1324424,1324424_2018.htm,11223000000,406000000,RevenueFromContractWithCustomerExcludingAssessedTax
101538,101538_2018.htm,9034403,873225,Revenues
9389,9389_2018.htm,11635000000,,RevenueFromContractWithCustomerIncludingAssessedTax
1572987,1572987_2018.htm,,,
1654861,1654861_2018.htm,,,
1713407,1713407_2018.htm,0,-367895,Revenues
1475115,1475115_2018.htm,291611000,-64078000,Revenues
1633931,1633931_2018.htm,2384249000,134752000,RevenueFromContractWithCustomerExcludingAssessedTax
8504,8504_2018.htm,107813,-2079683,Revenues
705432,705432_2018.htm,,74138000,
1286964,1286964_2018.htm,108472054,,RevenueFromContractWithCustomerExcludingAssessedTax
1172631,1172631_2018.htm,70965000,-5740000,RevenueFromContractWithCustomerExcludingAssessedTax
89089,89089_2018.htm,3190174000,447208000,Revenues
1581280,1581280_2018.htm,25427000,-71236000,RevenueFromContractWithCustomerIncludingAssessedTax
1039828,1039828_2018.htm,1547098000,458016000,Revenues
1579010,1579010_2018.htm,125537,-8077035,Revenues
1048695,1048695_2018.htm,2161407000,453689000,RevenueFromContractWithCustomerExcludingAssessedTax
1594686,1594686_2018.htm,27047000,93604000,RevenueFromContractWithCustomerExcludingAssessedTax
1659166,1659166_2018.htm,3800400000,,RevenueFromContractWithCustomerExcludingAssessedTax
67347,67347_2018.htm,2212700000,84800000,RevenueFromContractWithCustomerExcludingAssessedTax
1690080,1690080_2018.htm,,1040542,
1443669,1443669_2018.htm,445596000,76588000,RevenueFromContractWithCustomerIncludingAssessedTax
948708,948708_2018.htm,26285000,-2740000,RevenueFromContractWithCustomerExcludingAssessedTax
225628,225628_2018.htm,14817799,-5484386,Revenues
1162896,1162896_2018.htm,13901603,-2615419,RevenueFromContractWithCustomerExcludingAssessedTax
65759,65759_2018.htm,,1441000,
1022671,1022671_2018.htm,11801609000,,RevenueFromContractWithCustomerExcludingAssessedTax
1499357,1499357_2018.htm,,,
1727836,1727836_2018.htm,,,
832488,832488_2018.htm,35777000,3210000,Revenues
1308606,1308606_2018.htm,445125000,132052000,Revenues
1536577,1536577_2018.htm,57588000,-9886000,RevenueFromContractWithCustomerExcludingAssessedTax
1418135,1418135_2018.htm,7442000000,586000000,RevenueFromContractWithCustomerExcludingAssessedTax
790715,790715_2018.htm,,,
1641751,1641751_2018.htm,1874363,-601586,Revenues
51253,51253_2018.htm,3977539000,339781000,RevenueFromContractWithCustomerExcludingAssessedTax
1668761,1668761_2018.htm,,,
1655887,1655887_2018.htm,,,
1506307,1506307_2018.htm,13318000000,1609000000,RevenueFromContractWithCustomerExcludingAssessedTax
1418372,1418372_2018.htm,43239495,-997959,RevenueFromContractWithCustomerIncludingAssessedTax
944745,944745_2018.htm,15313000,14139000,RevenueFromContractWithCustomerExcludingAssessedTax
1692345,1692345_2018.htm,10155976,,RevenueFromContractWithCustomerIncludingAssessedTax
1687955,1687955_2018.htm,,,
37785,37785_2018.htm,4285300000,502100000,RevenueFromContractWithCustomerExcludingAssessedTax
8063,8063_2018.htm,803256000,46803000,RevenueFromContractWithCustomerExcludingAssessedTax
1443089,1443089_2018.htm,976003,-278741,RevenueFromContractWithCustomerExcludingAssessedTax
1420720,1420720_2018.htm,444000,-16105000,Revenues
1470550,1470550_2018.htm,,-601364,
1557746,1557746_2018.htm,6151000,-132738000,RevenueFromContractWithCustomerExcludingAssessedTax
903129,903129_2018.htm,1048505000,,RevenueFromContractWithCustomerExcludingAssessedTax
1596946,1596946_2018.htm,29134000,-106411000,RevenueFromContractWithCustomerExcludingAssessedTax
1595097,1595097_2018.htm,4822272,-55672139,RevenueFromContractWithCustomerExcludingAssessedTax
934612,934612_2018.htm,23855000000,5219000000,RevenueFromContractWithCustomerExcludingAssessedTax
1309108,1309108_2018.htm,996763000,168295000,RevenueFromContractWithCustomerExcludingAssessedTax
1677897,1677897_2018.htm,1098793,-39866,Revenues
1646228,1646228_2018.htm,1165899000,48996000,RevenueFromContractWithCustomerExcludingAssessedTax
1407623,1407623_2018.htm,295798000,42736000,Revenues
1341141,1341141_2018.htm,97857000,-122007000,RevenueFromContractWithCustomerIncludingAssessedTax
1443863,1443863_2018.htm,376656,-6584378,Revenues
726958,726958_2018.htm,9352910000,203886000,Revenues
1156388,1156388_2018.htm,987581000,-3531000,RevenueFromContractWithCustomerExcludingAssessedTax
715812,715812_2018.htm,1291529,73485,SalesRevenueNet
1368761,1368761_2018.htm,0,-17285,Revenues
1678746,1678746_2018.htm,18055,-12536,Revenues
1020710,1020710_2018.htm,1218709000,38345000,RevenueFromContractWithCustomerExcludingAssessedTax
740260,740260_2018.htm,3745810000,,Revenues
1685342,1685342_2018.htm,,,
318154,318154_2018.htm,23747000000,8394000000,Revenues
1431959,1431959_2018.htm,1282362,-5806612,Revenues
1005210,1005210_2018.htm,1344413000,76534000,RevenueFromContractWithCustomerExcludingAssessedTax
1501989,1501989_2018.htm,59502000,-84604000,RevenueFromContractWithCustomerExcludingAssessedTax
921082,921082_2018.htm,720035000,,Revenues
277509,277509_2018.htm,1089500000,94000000,RevenueFromContractWithCustomerExcludingAssessedTax
1685040,1685040_2018.htm,8965000000,865000000,Revenues
1562733,1562733_2018.htm,33824495,-6160690,RevenueFromContractWithCustomerExcludingAssessedTax
910606,910606_2018.htm,1120975000,249127000,Revenues
1389128,1389128_2018.htm,,,
1088856,1088856_2018.htm,251247000,75410000,RevenueFromContractWithCustomerExcludingAssessedTax
1523486,1523486_2018.htm,,,
921114,921114_2018.htm,,-16702000,
1662684,1662684_2018.htm,1274028,-2058239,RevenueFromContractWithCustomerExcludingAssessedTax
1501268,1501268_2018.htm,,-45722,
1109357,1109357_2018.htm,35978000000,,Revenues
1518339,1518339_2018.htm,,,
866374,866374_2018.htm,26211000000,93000000,RevenueFromContractWithCustomerExcludingAssessedTax
1358190,1358190_2018.htm,86746758,-10545684,Revenues
912766,912766_2018.htm,1144574000,370067000,RevenueFromContractWithCustomerExcludingAssessedTax
826326,826326_2018.htm,82438000,-13180000,Revenues
1024095,1024095_2018.htm,0,-60000,Revenues
1227025,1227025_2018.htm,322540000,-43637000,RevenueFromContractWithCustomerExcludingAssessedTax
1409446,1409446_2018.htm,,,
50725,50725_2018.htm,1977918000,125678000,RevenueFromContractWithCustomerExcludingAssessedTax
1701114,1701114_2018.htm,667600000,-122149000,RevenueFromContractWithCustomerExcludingAssessedTax
352998,352998_2018.htm,65865000,-36256000,RevenueFromContractWithCustomerExcludingAssessedTax
55135,55135_2018.htm,5513900000,22900000,RevenueFromContractWithCustomerExcludingAssessedTax
1663133,1663133_2018.htm,,,
1139812,1139812_2018.htm,27093000,213915000,RevenueFromContractWithCustomerExcludingAssessedTax
79879,79879_2018.htm,15374000000,1341000000,RevenueFromContractWithCustomerExcludingAssessedTax
1442836,1442836_2018.htm,10594000,-64257000,RevenueFromContractWithCustomerExcludingAssessedTax
1466538,1466538_2018.htm,793332000,42819000,RevenueFromContractWithCustomerExcludingAssessedTax
1614033,1614033_2018.htm,,,
1561164,1561164_2018.htm,,,
1535635,1535635_2018.htm,3329876,-354767,Revenues
84112,84112_2018.htm,14126000,3598000,RevenueFromContractWithCustomerExcludingAssessedTax
1749360,1749360_2018.htm,,,
1642375,1642375_2018.htm,942153,-7767407,RevenueFromContractWithCustomerExcludingAssessedTax
833795,833795_2018.htm,118952000,-68000,RevenueFromContractWithCustomerExcludingAssessedTax
1699039,1699039_2018.htm,303100000,-3300000,RevenueFromContractWithCustomerExcludingAssessedTax
